Method,Precision@5,Recall@5,MAP,nDCG@5,Mean_Satisfaction,Mean_Revenue,Run
Random,0.455,0.13460225666208975,0.47415730882338636,0.44284180907312637,0.4783143309560352,77.63509965012042,0
Relevance-Only,0.5833333333333334,0.17488595235865223,0.5709051419210572,0.5983589525020833,0.619239117900644,72.92033669501407,0
Revenue-Driven,0.43833333333333335,0.1276669427839252,0.45463465358047706,0.44890524729427195,0.4932570177479968,185.1738943437336,0
Static-Weighted-Sum,0.5666666666666667,0.16765028811363275,0.559112340890228,0.5683813172007258,0.7695388717197561,70.56657191695324,0
Popularity-Based,0.3483333333333334,0.10276092703038624,0.43441649897403706,0.3421524638885735,0.4192338639349505,82.34054377297196,0
Content-Based,0.5516666666666666,0.16368021223347476,0.5376606106715726,0.5223741818771729,0.5634355413408022,81.59702567810379,0
IMOHAG (HASMO),0.56,0.16619242180366658,0.5611489854473526,0.5735000329282559,0.7715068199748906,77.37244238417703,0
Random,0.41000000000000003,0.12459061772308845,0.46355441183955093,0.4163300982922889,0.4806889126150627,79.9739570495955,1
Relevance-Only,0.5533333333333333,0.169231233061333,0.5585447257297603,0.5687027171871172,0.6095734838581427,70.19457845811124,1
Revenue-Driven,0.29000000000000004,0.08837169658344278,0.4245713942071359,0.2777511238974502,0.30888506458748805,192.66647339538395,1
Static-Weighted-Sum,0.5549999999999999,0.17003760626715433,0.5570511152404239,0.5613535520314633,0.7692211668081502,66.38226928383565,1
Popularity-Based,0.435,0.13648378065850136,0.4900200971691211,0.42973364175371753,0.5302344720973629,77.55380084772663,1
Content-Based,0.48666666666666664,0.14778321943252454,0.5301922111602433,0.4789886447007813,0.5181346502504159,76.11207075522492,1
IMOHAG (HASMO),0.5583333333333333,0.17130133998928587,0.5561418550213036,0.5631585821000051,0.7684405429233744,75.2481865861544,1
Random,0.4216666666666667,0.1258476275242832,0.47312950367924717,0.42005037537708534,0.4342188562721154,85.52049607257744,2
Relevance-Only,0.63,0.1861291648297386,0.5908178495350891,0.6544860628024836,0.649265908268099,85.19753486101953,2
Revenue-Driven,0.4583333333333333,0.13669042522266375,0.4767442625886024,0.4506349923797401,0.4828316392359364,178.84909199770016,2
Static-Weighted-Sum,0.605,0.17800026488750575,0.580442638652263,0.6139240740739337,0.783132403526554,84.15598919681563,2
Popularity-Based,0.4516666666666667,0.13337254363974818,0.47144315687769084,0.43916828913130473,0.4146647529143588,72.8635814307871,2
Content-Based,0.5166666666666667,0.15331272619067915,0.5330771331241938,0.504728305985497,0.4534547511729768,85.29172763864597,2
IMOHAG (HASMO),0.6216666666666666,0.18275796553639298,0.5825638794861464,0.6300785199230814,0.7800822281097034,92.74138087572626,2
Random,0.44666666666666666,0.13301854204945132,0.4825631628256389,0.45097760874731996,0.48944633687931594,87.58074284212884,3
Relevance-Only,0.5516666666666666,0.16512059479017516,0.565529701776405,0.5558836886316363,0.6253243159912921,81.29155831925068,3
Revenue-Driven,0.4166666666666667,0.12427777402933884,0.46546529434156425,0.43440046171700025,0.5023344121525644,165.07507176646308,3
Static-Weighted-Sum,0.5666666666666667,0.16984619225255582,0.5710369391052991,0.5676981887100527,0.7735667828806058,82.38615047418608,3
Popularity-Based,0.4083333333333333,0.12198780480753997,0.4666775093095277,0.44939230065483915,0.47961462062971655,76.54724217026475,3
